Nama Pengguna,Produk,Rating,Ulasan,Tanggal
s***h,Maspion Teko Rainbow Nasional 22cm - Whistling Kettle Aluminium,bintang 3,"desain bagus, ukuran cukup besar. terdapat cekungan tdk rata di bawah teko dan pada gagang ada bagian yg terkelupas.",1 bulan lalu
Donny,Maspion Wall Cabinet /Rak Kaca Kamar Mandi MC 04,bintang 5,semuanya OK cuma sayang dapat warna yang tidak disukai.note:kalau bisa penjual melayani pilihan warna kecuali stok kosong,1 bulan lalu
R***y,MASPION AUTOMATIC IRON SETRIKA HA-390,bintang 5,mntp,1 bulan lalu
L***g,Maspion Setrika HA 370,bintang 3,"bubble wrap tipis bgt cuma 1 lapis. Kardusnya sih penyok dikit, tapi kok di barangnya ada cacat kaya kepentok apa gatau. Kayanya emg barangnya yg cacat bukan kesalahan pa... ",1 bulan lalu
Rangga,Maspion Celing Exhaust Fan 8 Inch CEF-2008,bintang 5,"Admin ramah, sesuai pesanan",1 bulan lalu
Rangga,Maspion Gantungan Baju Plastik - Beauty (30 Stick),bintang 5,"Admin ramah, sesuai pesanan",1 bulan lalu
Rangga,Maspion Tempat Sendok Garpu - Cutlery Star Set,bintang 5,"Admin ramah, sesuai pesanan",1 bulan lalu
Leo,Maspion Automatic Setrika HA-30,bintang 1,Ada yang patah,1 bulan lalu
R***a,Maspion Wall Cabinet / Kotak Penyimpanan Kunci MC 12,bintang 5,Material Produk Bagus,1 bulan lalu
S***i,Maspion Setrika HA - 110,bintang 5,brg original,1 bulan lalu
m,Maspion Setrika EX-1010 Blackberry (Hitam),bintang 5,"pengiriman cepat sekali, istri senang sekali, barang oke sekali, sudah dicoba dan menyala panas sekali, ada kartu garansinya dan buku petunjuknya, bagus kardusnya, aman p... ",1 bulan lalu
Deby,Maspion Stand Fan Kipas Angin Berdiri 18 Inchi Power Fan PW-18X2,bintang 5,Desain elegan.. Gampang dirakit... Packaging aman 🙏... Respon penjualnya top,1 bulan lalu
Diana,Maspion Wonder Jar MRJ-200 BS,bintang 4,Agak lengket,1 bulan lalu
sammy,Maspion Setrika EX-1010 Blackberry (Hitam),bintang 5,"good product, working properly. recommended seller!",1 bulan lalu
fuad,Maspion Dispenser Portable MD-15 PAS,bintang 5,"kualitas Bagus, semoga awet, trims",1 bulan lalu
