Nama Pengguna,Produk,Rating,Ulasan,Tanggal
I***i,Cosmos 12-DAR N ONY - Kipas Angin Meja 12 inch,bintang 5,"barang original, spek sesuai, pengiriman lumayan lama",3 minggu lalu
ARDIYAN,Cosmos CTL-211 - Ketel Elektrik 0.8 L,bintang 5,Produk sesuai deskripsi. Jenis produk sesuai pesanan. Berfungsi dengan baik dengan bahan yang berkualitas.,3 minggu lalu
Tondo,Cosmos CRJ-1803 - Rice Cooker 1.2 L,bintang 5,"packing bagus dan aman, produk bagus ukuran pas untuk keluarga dengan 3 orang",3 minggu lalu
Z***a,Cosmos Blenz CB-832PC - Blender 2 L,bintang 5,hasil blend bumbu keringnya lumayan halus,3 minggu lalu
Inda,16WFGR,bintang 5,"Barangnya berfungsi dengan baik, dan membuat ruangan jadi adem. Mantab jiwaaa 👍👍👍",3 minggu lalu
Fakhrurazi,Cosmos Rice Cooker Stainless steel CRJ 9368 2l,bintang 5,bArang ok baik mulus Rekomendasi mantap. hasil memasaknya baik tidak merubah rasa.,4 minggu lalu
T***y,Cosmos CRJ-1803 - Rice Cooker 1.2 L,bintang 1,"barang tidak lengkap, piringan bagian atas tidak Ada. bisa2nya Official store begini. kecewa banget....",4 minggu lalu
Tri,Cosmos CO-9909 W - Oven 9 L,bintang 5,"barang cepat sampai, blm dicoba moga gak masalah",4 minggu lalu
Yudha,Cosmos CTL-210 - Ketel Elektrik 1.2 L,bintang 5,"mantap, mantul bos",4 minggu lalu
Deswati,Cosmos Blender - Big Capacity - CB-282 AP - 2 liter,bintang 5,"Barang Original & di packing dengan aman. 
Barang berfungsi dengan baik.",1 bulan lalu
j***n,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 5,"barang sesuai order , blm dipasang , semoga awet",1 bulan lalu
Diptya,Cosmos Standing  Fan 16 SAE  ( 16 INCH),bintang 5,semoga awet,1 bulan lalu
Oni,Cosmos CRJ-8229 WRG - Rice Cooker 2 L (Tongolan Super),bintang 5,Nasi matang merata 👍 Proses pesanan cepat Penjualnya ramah banget Respon penjualnya top Packaging rapi Packaging aman 🙏 Mutu terjamin SNI Ringan tapi kokoh,1 bulan lalu
S***a,Cosmos CRJ-3301 - Rice Cooker 1.8 L,bintang 5,"Mantep, normal semoga awet",1 bulan lalu
S***i,Cosmos CRJ-3306 - Rice Cooker 1.8 L (Low Watt),bintang 5,Brg bgs 👍👍,1 bulan lalu
indra,Cosmos 16-WFG - Wall Fan - 16 Inch,bintang 4,"barang bagus, keterangan nya sih garansi motor 5 tahun, mudah2 an aja bener",1 bulan lalu
Y***i,Cosmos NEW AIR FRYER CAF-6603,bintang 5,Sudah digunakan dan aman. Semoga aman terus dan awet. Terimakasih,1 bulan lalu
A***a,"Cosmos WADESTA 16-S033 ONY - Kipas Angin 3in1-16 inch Wall,Desk,Stand",bintang 5,"recommend seller, produk asli dan berkualitas",1 bulan lalu
S***i,Cosmos NEW AIR FRYER CAF-6603,bintang 5,Utk kado jd tdk bisa tes. Pengiriman lumayan lama 1 minggu.,1 bulan lalu
Dora,Cosmos CGC-121 P N - Kompor Gas Portable 0.95 Kg 1 Tungku NEW,bintang 5,Oke,1 bulan lalu
S***o,Cosmos Harmond CRJ-6601 - Rice Cooker 0.8 L (Black/White),bintang 5,oke.. berfungsi baik..,1 bulan lalu
R***a,Cosmos CB-282 P - Blender 2 L,bintang 3,Seller slow respon. Packaging nya lama. Harus nunggu sehari lebih baru dikirim. Untungnya kurirnya cepet proses shipping nya. Packaging nya juga biasa banget. Cuma bubble... ,1 bulan lalu
T***a,Cosmos 16 COCN - Kipas Angin Dinding 16 inch (Orbit Ceiling Fan),bintang 5,Barangnya original jd dapat garansi juga. pasangnya gampang dan berfungsi dg baik.,1 bulan lalu
Y***i,Cosmos CRJ-1001 N - Rice Cooker 0.6 L,bintang 4,"barang ok.
tapi pengirimannya lama banget",1 bulan lalu
Y***s,Cosmos Blenz CB-812 GC - Blender 2 L (Goblet Kaca) Plus Choper ,bintang 5,Tadi coba bisa nyala mutar,1 bulan lalu
Muhammad,Cosmos Kompor Induksi Listrik 1 Tungku CIC-951,bintang 5,barang datang dalam kondisi baik,1 bulan lalu
Ria,Cosmos Rice Cooker Non Stick CRJ-8228 B - 2.0L,bintang 5,"rice cooker sdh di terima, di tes nyala, hy pas di pencet cook koq lgsg lompat ke warm, terus aja gt. smg gk rusak ya, tp barang aman gk ada yg penyok, mksh 🙏🏻",1 bulan lalu
Mas,Cosmos Blender - Big Capacity - CB-282 AP - 2 liter,bintang 5,"Barang Original, kondisi barang saat datang baik tanpa cacat, respon pejual bagus, good job",1 bulan lalu
A***i,Cosmos Food Processor FP-323 KUBA NEW PRODUK,bintang 5,"cantik barangnya, pengemasannya juga aman sehingga diterima dengan selamat...
untuk kinerjanya, pas dicoba untuk kacang buat bumbu kacang jago banget sampe halus... tapi... ",1 bulan lalu
Apriyanti,Cosmos Ketel Listrik CTL-618N -1.2L,bintang 5,"Barang diterima dengan baik, sudah dicoba dan berfungsi dengan baik.",1 bulan lalu
A***s,Cosmos Food Processor FP-323 KUBA NEW PRODUK,bintang 1,"checkout 31 Desember baru di kirim 3 Januari

saran aja jika produk tidak termasuk penjualan mending gambar ke 4,5 dan 6 di hapus aja",1 bulan lalu
R***a,COSMOS RICE COOKER  NON STICK CRJ 3012 O candy series ,bintang 5,sayang gak ada tampungan airnya jadi mleber kemana mana,1 bulan lalu
Y***i,Cosmos CTL-210 - Ketel Elektrik 1.2 L BLACK,bintang 5,bagus,1 bulan lalu
I***a,"Cosmos CWD-5603 - Dispenser Hot, Fresh & Cold",bintang 5,Pengiriman lambat,1 bulan lalu
Raihan,Cosmos CB-281 G - Blender 2 L,bintang 1,JANGAN PERNAH BELI DISINI PACKING AMATIR BARANG DALAM BOX TDK DI WRAP RUSAK TDK DIGANTI,1 bulan lalu
Bona,Cosmos CB-282 P - Blender 2 L,bintang 5,mantap,1 bulan lalu
I***n,Cosmos CRJ-3306 - Rice Cooker 1.8 L (Low Watt),bintang 1,Ga di kasih hadiahh,1 bulan lalu
A***r,Cosmos 12 DAR N - Kipas Angin Meja 12 inch,bintang 5,Sesuai pesanan. Original Official. Semoga awet barangnya. Terima kasih 🙏,1 bulan lalu
Lambertus,Cosmos CRJ-1031 - Mini Portable Digital Rice Cooker 0.3 L,bintang 5,"Barang diterima dengan baik, pengiriman jg cepat",1 bulan lalu
Anjar,"Cosmos WADESTA 16-S033 ONY - Kipas Angin 3in1-16 inch Wall,Desk,Stand",bintang 5,"Joooosss,.",1 bulan lalu
D***a,Cosmos Kipas Angin Ceiling Fan 56 - CBA,bintang 5,Hehee salah pilih ukuran jadi blm dipakai.. Semoga nanti bisa dipakai dan awet.. Pengiriman oke,1 bulan lalu
Bambang,Cosmos Blenz CB-832PC - Blender 2 L,bintang 5,"sesuai pesanan, pengiriman cepat",1 bulan lalu
