Nama Pengguna,Produk,Rating,Ulasan,Tanggal
D***y,Cosmos CB-282 G - Blender 2 L,bintang 5,"Respon penjual sangat cepat, packaging rapih, produk beroperasi dengan normal, ada anti slipnya, putaran nya sangat kuat, recomended",5 bulan lalu
Rahmat,Cosmos CB-282 P - Blender 2 LJELLY STAR,bintang 4,Packaging aman 🙏 Respon penjualnya top,5 bulan lalu
Bambang,Cosmos Harmond CRJ-6601Mama Suka,bintang 5,"Packing rapi, barang sesuai pesanan.
Kondisi baik cumq blm sempat coba.",5 bulan lalu
Ira,Cosmos 12 CWF - Kipas Angin Dinding 12 inch,bintang 5,"materialnya mantap bgt, keren designnya.",5 bulan lalu
k***a,Cosmos CB-631 HB - 3in1 Hand Blender 500 ml,bintang 4,barang sudah diterima dalam keadaan bagus. seller responsive meski saya rada kesal krn pengiriman terlambat harusnya sudah sampai dari tgl 30 baru sampai tgl 31 aug,5 bulan lalu
Ikfal,Cosmos ELECTRIC FAN WIF-1803 S,bintang 5,kipas angin merek cosmos emang paling the best,5 bulan lalu
G***i,Cosmos Harmond CRJ-6601Mama Suka,bintang 4,untuk produk nya bagus.. krn sdh lama pakai merk cosmos makanya beli yg merk yg sama.. tapi pengirimannya agak lama karna nunggu antrian ya.. smg lebih baik lagi pelayana... ,5 bulan lalu
Riza,Cosmos CGC-121 P N - Kompor Gas Portable 0.95 Kg 1 Tungku NEW,bintang 5,"Packing rapih dan aman,full bublewrap…

Barang mulus dan nyala dengan baik",5 bulan lalu
a***y,Cosmos Kipas Angin Besi 2 in 1 - 9-PDA,bintang 5,"alhamdulillah akhirnya sampai juga semoga awet, anginnya mantap",5 bulan lalu
H***y,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 5,Berjalan dengan baik. terima kasih,5 bulan lalu
Gemoy,Cosmos 16 SNQ - Kipas Angin 2in1 16 inch (Stand & Desk),bintang 5,ok,5 bulan lalu
Gemoy,Cosmos 16 SBI - Kipas Angin 2in1 16 inch (Stand & Desk),bintang 5,ok,5 bulan lalu
Gemoy,Cosmos 16-SN - Kipas Angin / Fan 2in1 16 inch (Stand & Desk),bintang 5,ok,5 bulan lalu
Gemoy,Cosmos Blenz CB-812 PC - Blender 2 L (Goblet Plastik) Plus Choper,bintang 5,ok,5 bulan lalu
maman,Cosmos Setrika Uap Ceramic Soleplate CI-4910 C,bintang 2,bocor bocor. bagian bawah. netes air banyak kali...,5 bulan lalu
I***a,Cosmos Rice Cooker Stainless steel CRJ 9368 2l,bintang 4,"barang bagus , pengiriman doang lama pake banget",5 bulan lalu
D***s,Cosmos Standing  Fan 16 SAE  ( 16 INCH),bintang 5,Nempel di lantaiiiii,5 bulan lalu
Eka,Cosmos CRJ-8229 WRG - Rice Cooker 2 L (Tongolan Super),bintang 5,"paket mendarat dengan aman, terima kasih 🙏",5 bulan lalu
S***i,Cosmos Harmond CRJ-6123 - Rice Cooker 0.6 L Mama Suka,bintang 5,Proses pesanan cepat Packaging aman 🙏semoga awet,5 bulan lalu
D***n,Cosmos 12 LDA - Kipas Angin Meja 12 inch,bintang 5,baguuuuus. Kipasnya gede warnanya hitam elegan. Dan kenceng kipasnya. Udara panas banget kipas ini beneran penyelamat. Udah gitu tgl 22 malem tgl 24 udah sampe pake kargo... ,5 bulan lalu
Abdul,COSMOS RICE COOKER  NON STICK CRJ 3012 B candy series ,bintang 5,bagus barangnya .oke lah sip .cuman pengirimannya lama nyampenya,5 bulan lalu
Jefry,Hand Mixer COSMIC CM-1259 (Cosmos Mixer with Container),bintang 5,"Proses cepat, paket sampai tujuan dengan aman.
Barang berfungsi normal. Terimakasih!",6 bulan lalu
Agung,Cosmos 16-WFG - Wall Fan - 16 Inch,bintang 5,"top 💪
yg laen bengbeng",6 bulan lalu
Santoso,Cosmos CRJ-1001 N - Rice Cooker 0.6 L,bintang 5,"packing aman, barang berfungsi dengan baik..",6 bulan lalu
R***i,Cosmos CTL-210 - Ketel Elektrik 1.2 L BLACK,bintang 5,Aman dan amanah. Keep it up. Terima kasih,6 bulan lalu
A***p,Cosmos CRJ-3126 - Rice Cooker 1.8 L (Low Watt),bintang 5,Nasi matang merata 👍 Nasinya tahan lama 🍚 Gampang dibersihkan Garansi terjamin Mutu terjamin SNI Penjualnya ramah banget Ringan tapi kokoh Packaging aman 🙏 Proses pesa... ,6 bulan lalu
Kevin,Cosmos 16 SBI - Kipas Angin 2in1 16 inch (Stand & Desk),bintang 5,sippp,6 bulan lalu
A***i,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 5,ok terimakasih ..,6 bulan lalu
farida,Cosmos Rice Cooker Non Stick CRJ-5508 BC - 2.5L,bintang 5,"barang oke, tp pngiriman ampun2, pakai instan tp hampir aja dkirimnya bsk nya, tp alhamdulillah bs dkirim per hr itu juga",6 bulan lalu
M***d,COSMOS RICE COOKER  NON STICK CRJ 3012 B candy series ,bintang 4,"Nasi matang merata, anti lengket bener, tp baru 2 kali dipake lampu indikator warm nya mati dan saat ngambil nasi pannya gerak² jadi harus dipegangin pinggirannya, over a... ",6 bulan lalu
M***d,Cosmos Harmond CRJ-6601Mama Suka,bintang 5,Nasi matang merata 👍 Nasinya tahan lama 🍚 Mutu terjamin SNI Gampang dibersihkan,6 bulan lalu
M***d,Cosmos CRJ-3307 CGMBORI,bintang 5,Nasi matang merata 👍 Nasinya tahan lama 🍚 Gampang dibersihkan Mutu terjamin SNI,6 bulan lalu
Benny,Cosmos Rice Cooker Stainless steel CRJ 9368 2l,bintang 5,"barangnya sesuai deskripsi.. sudah dicoba dan hasilnya ok, rasa nasinya tidak berubah",6 bulan lalu
Sulistia,Cosmos COTG-550 - Tritan Bottle 570 ml - Tosca,bintang 5,"pesen tosca datang ungu , ga masalah sih yg penting barang nyampe aman",6 bulan lalu
N***r,Cosmos CFP 26 R TB Krips,bintang 5,Material Produk Bagus Kualitas Produk Bagus Produk Original Ukuran Produk Sesuai,6 bulan lalu
prasasti,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 5,"berfungsi dengan baik , pengiriman cepat dan aman dengan menggunakan buble wrap ,ulasan lain nanti lagi saya akan ulas",6 bulan lalu
Muhammad,Cosmos CB-282 G - Blender 2 L,bintang 5,"Barang sesuai seperti di photo lengkap pengirimannya cepat, semoga tahan lama",6 bulan lalu
Untung,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 4,Murnya kurang yg panjang jd harus beli sendiri di toko,6 bulan lalu
Rizky,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 5,Mantap,6 bulan lalu
N***r,Cosmos CM-1679 - Hand Mixer,bintang 1,"boydy barangnya kusam tidak mengkilat sperti barang baru, entahlah... kya sering kegesek2 pemakaian lama",6 bulan lalu
M***a,Cosmos CB-282 P - Blender 2 L,bintang 5,pengiriman cepat..d packing rapi,6 bulan lalu
williyan,Cosmos 12 CWF - Kipas Angin Dinding 12 inch,bintang 5,ok,6 bulan lalu
achmad,Cosmos Setrika Ceramic Sole Plate CI-3150 C,bintang 5,terbaiklah Nyetrika jadi cept hanya saja berat jadi pegelnya berasa belakangan yahhh drpd pegel kelamaan nyetrika,6 bulan lalu
O***a,Cosmos CRJ-1031 - Rice Cooker 0.3 L Mama Suka,bintang 5,Nasi matang merata 👍 Gampang dibersihkan Nasinya tahan lama 🍚 Mutu terjamin SNI Ringan tapi kokoh Garansi terjamin Penjualnya ramah banget Packaging aman 🙏 Proses pesa... ,6 bulan lalu
M***d,Cosmos CFP 18 R - Frying Pan 18 cm - TBKRIPS,bintang 5,Material Produk Bagus Kualitas Produk Bagus Produk Original,6 bulan lalu
M***d,Cosmos CRJ-3307 GMBORI,bintang 5,Nasi matang merata 👍 Nasinya tahan lama 🍚 Gampang dibersihkan Mutu terjamin SNI Garansi terjamin Ringan tapi kokoh Packaging rapi Packaging aman 🙏 Penjualnya ramah ban... ,6 bulan lalu
Imanuel,Cosmos Setrika Ceramic Sole Plate CI-3150 C,bintang 5,sesuai pesanan 🙏🙏,6 bulan lalu
Imanuel,Cosmos CRJ-1031 - Mini Portable Digital Rice Cooker 0.3 L,bintang 5,sesuai pesanan 🙏🙏,6 bulan lalu
D***i,Cosmos Setrika Listrik CI-3110 C,bintang 5,Barang sampai dalam kondisi baik. Enak banget digunakannya. Enteng. Licin. Recomended 👍,6 bulan lalu
J***n,Cosmos CI-318 - Electric Iron (Non Stick Soleplate),bintang 5,"harga bersaing... response kilat..kemasan pakai buble tebel...
barang original... cepet sampe...

recomended seller !!",6 bulan lalu
M***a,Cosmos Harmond CRJ-6288 - Rice Cooker 2 L (Red/Green/Blue),bintang 5,"Original, bergaransi, dan berfungsi dgn baik 👍👍",6 bulan lalu
Iwan,Cosmos Blenz CB-801 Pink - Blender 1.5 L (Pink),bintang 5,berfungsi dengan baik,6 bulan lalu
Iwan,Cosmos 007-Pundi - Sarana Penyimpan Beras 7 Kg,bintang 5,ok,6 bulan lalu
C***l,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 5,Barang diterima dengan baik. Packing aman dan sesuai deskripsi. Semoga awet seterusnya. Thanks,6 bulan lalu
H***y,"Cosmos CWD-5603 - Dispenser Hot, Fresh & Cold",bintang 5,"sesuai harapan, pengiriman cepat, fungsi berjalan baik.",6 bulan lalu
N***l,COSMOS RICE COOKER  NON STICK CRJ 3012 B candy series ,bintang 5,"Sesuai harapan 
Bagus banget ni, udah d coba masak nasi matangnya sempurna, terus ga lengket juga👍🏼 
Mantap pokoknya",6 bulan lalu
M***a,Cosmos Setrika Non Stick Soleplate CI-3120 N,bintang 5,setrikanya ringan & ada garansi 1 tahun,6 bulan lalu
A***s,Cosmos CB-282 P - Blender 2 LJELLY STAR,bintang 5,"Sesuai dg pesanan
Pengiriman cepat sesuai estimasi
Semoga awet ya cosmos",6 bulan lalu
Anie,Cosmos CWD-1060 - Mini Portable Dispenser (Hot&Fresh),bintang 5,"barang sesuai dg ekspektasi, berfungsi dg baik, pengiriman cepat",6 bulan lalu
A***n,Cosmos CB-282 P - Blender 2 LJELLY STAR,bintang 5,Pisaunya tajam 👍 Gampang dipakai Proses pesanan cepat,6 bulan lalu
Hendra,Cosmos CRJ-1001 N - Rice Cooker 0.6 L,bintang 5,barang nya bagus dan packing nya ok banget.,6 bulan lalu
W***i,Cosmos Setrika Listrik CI-3110 C,bintang 5,mantap,6 bulan lalu
Dian,Cosmos CRJ-101 N - Rice Cooker 0.6 L,bintang 5,"Barang ori, cpt dikrm",6 bulan lalu
citra,Cosmos CB-631 HB - 3in1 Hand Blender 500 ml,bintang 4,"barang ori, bubble wrap tebal, sampai rumah bener bener cepet",6 bulan lalu
Baim,Cosmos Harmond CRJ-6031 N- Rice Cooker 2 L,bintang 3,"Pengirimannya mungkin yg harus di perbaiki, soalnya telat parah",6 bulan lalu
Estu,Cosmos Food Processor FP-323 KUBA NEW PRODUK,bintang 5,"paket dipacking rapi dan aman pake bubble, berfungsi dengan baik, sesuai ekspektasi, terima kasih seller",6 bulan lalu
Ditta,Cosmos Rice Cooker Non Stick CRJ-8228 W - 2.0L,bintang 5,cepat sampai packing aman,6 bulan lalu
Aziz,Cosmos Rice Cooker Harmond CRJ-6028 G - 1.2L,bintang 5,Packing mantap buble wrap aman,6 bulan lalu
Herza,Cosmos CRJ-3306 - Rice Cooker 1.8 L (Low Watt),bintang 5,"bagus, mantap.",6 bulan lalu
A***i,COSMOS RICE COOKER  NON STICK CRJ 3012 B candy series ,bintang 5,"barang ok,  Respon penjualnya top Packaging rapi Ringan tapi kokoh",6 bulan lalu
Diah,Cosmos CB-282 G - Blender 2 L,bintang 5,mantap,6 bulan lalu
Diana,Cosmos Rice Cooker Harmond CRJ-6028 G - 1.2L,bintang 5,"Proses lancar, packing aman di bubblewrap 👍",6 bulan lalu
S***i,Cosmos 16 SKM - Kipas Angin Berdiri 16 inch,bintang 5,"cepat sampai, proses cepat, barang bagus",6 bulan lalu
Eko,Cosmos Rice Cooker Stainless steel CRJ 9368 2l,bintang 2,"Pengiriman sdh bayar next day, aktualnya 3 hari",6 bulan lalu
pusatcontinuousformmurah,Cosmos Standing  Fan 16 SAE  ( 16 INCH),bintang 5,kenapa pesan dikirimnya 24 jam kemudian yaak?,7 bulan lalu
I***e,Cosmos CTL-210 - Ketel Elektrik 1.2 L BLACK,bintang 5,kualitas bagus sudah di coba 👍🏻,7 bulan lalu
A***i,Cosmos CRJ-3307 - Rice Cooker 1.8 L Fabelia series Koala,bintang 5,Alhamdulillah barang bagus,7 bulan lalu
E***k,Cosmos Trinity CB-190 - Blender 1.5 L,bintang 5,good,7 bulan lalu
Aris,Cosmos Blenz CB-802 - Blender 1.2 L,bintang 5,barang bagus .... semoga awet ....,7 bulan lalu
R***e,Cosmos CRJ-323SWG - Rice Cooker 1.8 L (Low Watt),bintang 3,sendok nasi tidak bisa masuk kaitannya tidak sesuai,7 bulan lalu
Septia,Cosmos CO-9918 - Oven 18 L,bintang 4,"Barangnya original 👍 Packaging rapi Proses pesanan cepat Desainnya elegan ✨ Gampang dipakai, tapi panasnya kurang mantap ya",7 bulan lalu
Ahmad,Cosmos 16-SDB - Kipas Angin / Stand Fan 16 inch,bintang 5,"barang original dan bagus bgt
sangat puas",7 bulan lalu
Heru,Cosmos Setrika Uap Ceramic Soleplate CI-4910 C,bintang 5,"Pengirimannya sangat cepat, baru beli kemarin.. hari ini sdh sampai barangnya. Kualitas barang jg oke..",7 bulan lalu
Ikfal,Cosmos ELECTRIC FAN WIF-1803 PSR,bintang 5,Packaging Rapi & Aman Produk Sesuai Deskripsi Kualitas produk bagus,7 bulan lalu
Adi,Cosmos Setrika Listrik CI-3110 C,bintang 5,sesuai deskripsi..packing aman,7 bulan lalu
d***a,Cosmos ELECTRIC FAN WIF-1803 S,bintang 5,baranf ori dan aman 👍🏻,7 bulan lalu
d***a,Cosmos CRJ-3307 - Rice Cooker 1.8 L Fabelia series Koala,bintang 5,"barang ori , bagus",7 bulan lalu
a***n,Cosmos Setrika Non Stick Soleplate CI-3120 N,bintang 5,....,7 bulan lalu
M***n,Cosmos ELECTRIC FAN WIF-1803 PSR,bintang 5,Packaging Rapi & Aman,7 bulan lalu
Bhakti,Cosmos 12-DWF - Kipas Angin / Wall Fan 12 inch,bintang 5,mantap,7 bulan lalu
Muhamad,Cosmos 16-WFG - Wall Fan - 16 Inch,bintang 5,kipas berfungsi dengan baik.,7 bulan lalu
Ismail,Cosmos 16-WFG - Wall Fan - 16 Inch,bintang 3,"pesan pake instan,dikirimnya besok, dan lama pula,percuma pake instan kalo gini",7 bulan lalu
lestari,Cosmos 16 WFO - Kipas Angin Dinding 16 inch,bintang 5,mantabs... anginnya kencang 👍,7 bulan lalu
b***i,Cosmos CRJ-3255 free gimmick,bintang 5,Nasi matang merata 👍,7 bulan lalu
Ramdania,Cosmos Rice Cooker Non Stick CRJ-8228 W - 2.0L,bintang 5,"Bagus, desain bagus, memasak dengan sempurna",7 bulan lalu
Abdul,Cosmos Setrika Non Stick Soleplate CI-3130 N,bintang 3,proses lama,7 bulan lalu
Mahes,Cosmos CGS-123 P BROWN - Kompor Portable 1.45 Kg 1 Tungku NEW Looks,bintang 5,mantep,7 bulan lalu
BondanHI,Cosmos 12-DAR N ONY - Kipas Angin Meja 12 inch,bintang 5,"Proses cepet barang nggak ada kendala,terima kasih",7 bulan lalu
F***i,Cosmos 16-WFG - Wall Fan - 16 Inch,bintang 5,Mantab,7 bulan lalu
ENA,Cosmos CRJ-3307 - Rice Cooker 1.8 L Fabelia series Kucing(Cat),bintang 5,"Alhamdulillah barang sampai tepat waktu, packing aman lapis bubble wrap..
Terima kasih",7 bulan lalu
Eni,Cosmos CFP 20 R - Frying Pan 20 cm - Non Stick Royale,bintang 5,barang sudah di terima dg baik..,7 bulan lalu
M***y,Cosmos Harmond CRJ-6601 - Rice Cooker 0.8 L (Black/White),bintang 5,barang ori...blm di coba seh krn msh pake yg lama semoga awet,7 bulan lalu
Nur,Hand Mixer COSMIC CM-1259 (Cosmos Mixer with Container),bintang 4,Barangnya original 👍,7 bulan lalu
F***y,Cosmos Ketel Listrik CTL-618N -1.2L,bintang 5,Produk sesuai pesanan dan berfungsi dg baik tp sayang tutupnya agak longgar.,7 bulan lalu
Rivka,Cosmos CM-1679 - Hand Mixer,bintang 5,mantap barang sampai dengan aman,7 bulan lalu
C***l,Cosmos Rice Cooker Stainless steel CRJ 9368  2l,bintang 5,Bagus banget,8 bulan lalu
A***i,Cosmos 12-BFE ONY - Box Fan 12 inch with Mosquito Repellent,bintang 3,Belum ada sebulan udah mati aja,8 bulan lalu
B***y,Cosmos CB-171 P - Blender 1 L,bintang 5,asli bagus banget... murah dan packing nya aman sekali next order lagi.. makasih seller,8 bulan lalu
W***n,Cosmos 16 SBI - Kipas Angin 2in1 16 inch (Stand & Desk),bintang 5,Belum coba. Semoga ok,8 bulan lalu
Darmawan,Cosmos 16-WFG - Wall Fan - 16 Inch,bintang 5,semoga awet dan baik terus,8 bulan lalu
Yulia,Cosmos CB-281 P - Blender 2 L,bintang 5,"pengiriman ok dan murah, makasi ya sorry foto beda tpi ok kok",8 bulan lalu
lasmian,Cosmos CB-171 P - Blender 1 L,bintang 5,blender nya baguss. beefungsi dengan baik. udah lama sih belinya  tapi baru buat review an nya,8 bulan lalu
P***T,Cosmos 16-XDC - Ilmukelapa,bintang 5,"admin responsif dan, barang datang lengkap, kondisi jg ok",8 bulan lalu
heryadi,Cosmos CB-281 P - Blender 2 L,bintang 5,"sesuai deskripsi, dan mudah dioperasikan. tanks",8 bulan lalu
Heru,Cosmos CTL-210 - Ketel Elektrik 1.2 L BLACK,bintang 5,"ALHAMDULILLAH.
MANTABS...
TERIMA KASIH JURAGAN 🙏",8 bulan lalu
Suhani,Cosmos CRJ-3307 - Rice Cooker 1.8 L Fabelia series Kucing(Cat),bintang 5,sesuai & semoga awet 👍👍,8 bulan lalu
A***a,Cosmos CRJ-101 N - Rice Cooker 0.6 L,bintang 5,Packagingnya rapih dan brgnya smpai dgn aman walau ada sedikit penyok (ga trlalu keliatan). Sdh lgsg dicoba dan sejauh ini Rice Cooker berfungsi dgn baik 👍👍,8 bulan lalu
Xtra,Cosmos CTL-211 - Ketel Elektrik 0.8 L,bintang 5,mantapppp,8 bulan lalu
Putut,Cosmos CB-171 P - Blender 1 L,bintang 5,"terima kasih sebelumnya, barang telah tiba dengan baik dan kurir semoga di karuniai sehat dan rezeki yang banyak...Amin",8 bulan lalu
F***I,"Cosmos 16-S088 - Kipas Angin / Fan 3in1 16 inch (Wall, Desk, Stand)",bintang 1,"Pelayanan tidak sesuai tulisan di gambar (tentang manfaat belanja di official store).
Pakai jasa instan, belanja 06.44 jam 17.00 kurang dikit barang baru nyampe (Instan r... ",8 bulan lalu
dinar,"Cosmos WADESTA 16-S033 ONY - Kipas Angin 3in1-16 inch Wall,Desk,Stand",bintang 5,barang original semua berfungsi dengan baik mudah mudahan awet ya,8 bulan lalu
Alif,Cosmos Harmond CRJ-6023 N - Rice Cooker 2 L,bintang 5,"Barang original, kualitas mantap, respon seller oke, barang mendarat dengan aman",8 bulan lalu
herdi,Cosmos Rice Cooker Harmond CRJ-6028 V - 1.2L,bintang 5,Nasinya tahan lama 🍚 Nasi matang merata 👍,8 bulan lalu
U***n,"Cosmos 16-S088 - Kipas Angin / Fan 3in1 16 inch (Wall, Desk, Stand)",bintang 5,"sampai tujuan dengan selamat 👍
pasang nya juga mudah 👍
the best 👍",8 bulan lalu
E***k,Cosmos CB-281 G - Blender 2 L,bintang 5,Barang ok sesuai deskripsi dan kokoh,8 bulan lalu
elyana,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 5,"bagus banget... pengiriman cepat. br pesan semalem, skrng udh smpe.",8 bulan lalu
Maria,Cosmos FP-300 - Food Processor 300 ml,bintang 5,barangnya bagus..,8 bulan lalu
g***r,Cosmos CRJ-3307 - Rice Cooker 1.8 L Fabelia series Kucing(Cat),bintang 4,belum d coba jangka lama.,8 bulan lalu
Yassir,Kipas Angin 12-PDB Electric Fan Twino (Meja dan Dinding),bintang 5,Gampang dirakit Desain elegan Udara jadi sejuk Proses pesanan cepat Packaging aman 🙏 dan semoga awet,8 bulan lalu
Hoecent,Cosmos 16-SN - Kipas Angin / Fan 2in1 16 inch (Stand & Desk),bintang 5,"barangnya original, pemasangannya mudah, kokoh pastinya gak gampang jatoh atau goyang, tidak terlalu bising...",8 bulan lalu
S***y,Cosmos CGC-123 P RED - Kompor Portable 1.45 Kg 1 Tungku NEW Looks,bintang 1,boxnya pecah dan konpor penyok. pengiriman sangat lama,8 bulan lalu
Dian,Cosmos NEW AIR FRYER CAF-6603,bintang 5,"Mendarat dengan selamat, ga dibuka dr box krn untuk kado...thanks much cosmos 🙏🏻🙏🏻🙏🏻🙏🏻",8 bulan lalu
Haikal,WADESTA BESI SIF-1804 S,bintang 5,"barang bagus,original,berfungsi semua",8 bulan lalu
D***k,Cosmos 16 WFO - Kipas Angin Dinding 16 inch,bintang 5,"kipas angin cosmos kupasang pada dinding mushola rumahku, ruangan jadi lebih segar, tks.",8 bulan lalu
A***f,Cosmos 12 DAR N - Kipas Angin Meja 12 inch,bintang 5,"barang bagus berfungsi dengan baik, pengiriman cepat. recommended.",8 bulan lalu
Richard,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 4,bagian kakinya ada patah sayangnya,8 bulan lalu
g***r,Cosmos CRJ-3307 - Rice Cooker 1.8 L Fabelia series Kucing(Cat),bintang 4,belum d coba jangka lama.,8 bulan lalu
Yassir,Kipas Angin 12-PDB Electric Fan Twino (Meja dan Dinding),bintang 5,Gampang dirakit Desain elegan Udara jadi sejuk Proses pesanan cepat Packaging aman 🙏 dan semoga awet,8 bulan lalu
Hoecent,Cosmos 16-SN - Kipas Angin / Fan 2in1 16 inch (Stand & Desk),bintang 5,"barangnya original, pemasangannya mudah, kokoh pastinya gak gampang jatoh atau goyang, tidak terlalu bising...",8 bulan lalu
S***y,Cosmos CGC-123 P RED - Kompor Portable 1.45 Kg 1 Tungku NEW Looks,bintang 1,boxnya pecah dan konpor penyok. pengiriman sangat lama,8 bulan lalu
Dian,Cosmos NEW AIR FRYER CAF-6603,bintang 5,"Mendarat dengan selamat, ga dibuka dr box krn untuk kado...thanks much cosmos 🙏🏻🙏🏻🙏🏻🙏🏻",8 bulan lalu
Haikal,WADESTA BESI SIF-1804 S,bintang 5,"barang bagus,original,berfungsi semua",8 bulan lalu
D***k,Cosmos 16 WFO - Kipas Angin Dinding 16 inch,bintang 5,"kipas angin cosmos kupasang pada dinding mushola rumahku, ruangan jadi lebih segar, tks.",8 bulan lalu
A***f,Cosmos 12 DAR N - Kipas Angin Meja 12 inch,bintang 5,"barang bagus berfungsi dengan baik, pengiriman cepat. recommended.",8 bulan lalu
Richard,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 4,bagian kakinya ada patah sayangnya,8 bulan lalu
g***r,Cosmos CRJ-3307 - Rice Cooker 1.8 L Fabelia series Kucing(Cat),bintang 4,belum d coba jangka lama.,8 bulan lalu
Yassir,Kipas Angin 12-PDB Electric Fan Twino (Meja dan Dinding),bintang 5,Gampang dirakit Desain elegan Udara jadi sejuk Proses pesanan cepat Packaging aman 🙏 dan semoga awet,8 bulan lalu
Hoecent,Cosmos 16-SN - Kipas Angin / Fan 2in1 16 inch (Stand & Desk),bintang 5,"barangnya original, pemasangannya mudah, kokoh pastinya gak gampang jatoh atau goyang, tidak terlalu bising...",8 bulan lalu
S***y,Cosmos CGC-123 P RED - Kompor Portable 1.45 Kg 1 Tungku NEW Looks,bintang 1,boxnya pecah dan konpor penyok. pengiriman sangat lama,8 bulan lalu
Dian,Cosmos NEW AIR FRYER CAF-6603,bintang 5,"Mendarat dengan selamat, ga dibuka dr box krn untuk kado...thanks much cosmos 🙏🏻🙏🏻🙏🏻🙏🏻",8 bulan lalu
Haikal,WADESTA BESI SIF-1804 S,bintang 5,"barang bagus,original,berfungsi semua",8 bulan lalu
D***k,Cosmos 16 WFO - Kipas Angin Dinding 16 inch,bintang 5,"kipas angin cosmos kupasang pada dinding mushola rumahku, ruangan jadi lebih segar, tks.",8 bulan lalu
A***f,Cosmos 12 DAR N - Kipas Angin Meja 12 inch,bintang 5,"barang bagus berfungsi dengan baik, pengiriman cepat. recommended.",8 bulan lalu
Richard,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 4,bagian kakinya ada patah sayangnya,8 bulan lalu
g***r,Cosmos CRJ-3307 - Rice Cooker 1.8 L Fabelia series Kucing(Cat),bintang 4,belum d coba jangka lama.,8 bulan lalu
Yassir,Kipas Angin 12-PDB Electric Fan Twino (Meja dan Dinding),bintang 5,Gampang dirakit Desain elegan Udara jadi sejuk Proses pesanan cepat Packaging aman 🙏 dan semoga awet,8 bulan lalu
Hoecent,Cosmos 16-SN - Kipas Angin / Fan 2in1 16 inch (Stand & Desk),bintang 5,"barangnya original, pemasangannya mudah, kokoh pastinya gak gampang jatoh atau goyang, tidak terlalu bising...",8 bulan lalu
S***y,Cosmos CGC-123 P RED - Kompor Portable 1.45 Kg 1 Tungku NEW Looks,bintang 1,boxnya pecah dan konpor penyok. pengiriman sangat lama,8 bulan lalu
Dian,Cosmos NEW AIR FRYER CAF-6603,bintang 5,"Mendarat dengan selamat, ga dibuka dr box krn untuk kado...thanks much cosmos 🙏🏻🙏🏻🙏🏻🙏🏻",8 bulan lalu
Haikal,WADESTA BESI SIF-1804 S,bintang 5,"barang bagus,original,berfungsi semua",8 bulan lalu
D***k,Cosmos 16 WFO - Kipas Angin Dinding 16 inch,bintang 5,"kipas angin cosmos kupasang pada dinding mushola rumahku, ruangan jadi lebih segar, tks.",8 bulan lalu
A***f,Cosmos 12 DAR N - Kipas Angin Meja 12 inch,bintang 5,"barang bagus berfungsi dengan baik, pengiriman cepat. recommended.",8 bulan lalu
Richard,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 4,bagian kakinya ada patah sayangnya,8 bulan lalu
g***r,Cosmos CRJ-3307 - Rice Cooker 1.8 L Fabelia series Kucing(Cat),bintang 4,belum d coba jangka lama.,8 bulan lalu
Yassir,Kipas Angin 12-PDB Electric Fan Twino (Meja dan Dinding),bintang 5,Gampang dirakit Desain elegan Udara jadi sejuk Proses pesanan cepat Packaging aman 🙏 dan semoga awet,8 bulan lalu
Hoecent,Cosmos 16-SN - Kipas Angin / Fan 2in1 16 inch (Stand & Desk),bintang 5,"barangnya original, pemasangannya mudah, kokoh pastinya gak gampang jatoh atau goyang, tidak terlalu bising...",8 bulan lalu
S***y,Cosmos CGC-123 P RED - Kompor Portable 1.45 Kg 1 Tungku NEW Looks,bintang 1,boxnya pecah dan konpor penyok. pengiriman sangat lama,8 bulan lalu
Dian,Cosmos NEW AIR FRYER CAF-6603,bintang 5,"Mendarat dengan selamat, ga dibuka dr box krn untuk kado...thanks much cosmos 🙏🏻🙏🏻🙏🏻🙏🏻",8 bulan lalu
Haikal,WADESTA BESI SIF-1804 S,bintang 5,"barang bagus,original,berfungsi semua",8 bulan lalu
D***k,Cosmos 16 WFO - Kipas Angin Dinding 16 inch,bintang 5,"kipas angin cosmos kupasang pada dinding mushola rumahku, ruangan jadi lebih segar, tks.",8 bulan lalu
A***f,Cosmos 12 DAR N - Kipas Angin Meja 12 inch,bintang 5,"barang bagus berfungsi dengan baik, pengiriman cepat. recommended.",8 bulan lalu
Richard,Cosmos 16-XDC - Kipas Angin / Stand Fan 16 inch,bintang 4,bagian kakinya ada patah sayangnya,8 bulan lalu
